Year,FIPS,State,Life Expectancy,95% CI - Low,95% CI - High,Median Household Income,% Low Birthweight,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Adults Reporting Currently Smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,Chlamydia Rate,Teen Birth Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,% Some College,% Unemployed,% Disconnected Youth,% Children in Poverty,Income Ratio,% Children in Single-Parent Households,Residential segregation - Black/White,Homicide Rate,Firearm Fatalities Rates,Social Association Rate,Injury Death Rate,% Long Commute - Drives Alone,% Not Proficient in English,% Rural
2017,31000,Nebraska,79.53170674,79.40535032,79.65806315,59913,6.854575163,10.74980928,9.4,133.5,15.39411734,32.2,8,23.3,21.72827137,447.6,22.8836632,6.95393,11.5555062,5.142556107,3590,48,50,71.38913663,2.936582256,4.78051598,13.7,4.219328795,28.39408056,64.89960649,3.4,8.9,14.1400653,58.120626,18.2,2.760488097,26.86546488
2017,32000,Nevada,78.43327226,78.32371738,78.54282715,57932,8.378281915,11.58542108,10.2,375.2,17.58640131,25.7,7.9,23.1,19.30241023,542.4,28.83908585,22.199715,15.2021846,7.85933317,4383,34,37,57.57771957,5.029693387,9.659756969,19.2,4.261649326,36.66380944,44.23090641,6,15.7,4.2260958,74.124144,29.7,6.196929043,5.804519152
2017,33000,New Hampshire,79.50828571,79.35465676,79.66191466,73638,6.909216909,12.67454734,9.3,101.5,15.66527419,27.9,9,21.3,20.73347979,328.6,11.45141375,34.179948,8.474194028,2.461535032,4032,50,49,70.31709406,2.671351321,4.757008705,10,4.260218509,27.83512286,62.936384,1.4,9.2,10.3515429,80.228641,38.8,0.940348607,39.69691676
2017,34000,New Jersey,80.52898493,80.46907726,80.5888926,80106,8.161378883,11.98688768,9.5,468.2,13.73893182,26.4,9.3,26,18.05530223,391.3,13.86597697,23.022785,10.9481467,3.558193335,4535,41,49,68.28545615,4.627894301,5.801488704,13.8,5.226036423,29.4948828,62.49616208,4.3,5.4,8.5068875,52.878895,42.2,6.275110587,5.320446311
2017,35000,New Mexico,78.16534107,78.02671328,78.30396886,47086,8.915934839,14.20990166,8.9,189.5,17.48559441,26.6,4.1,19.7,16.17338999,649.4,38.62696859,23.88797,13.39782312,5.352334307,3094,34,40,60.00722599,6.152186167,9.086228629,25.9,5.204768584,39.80282701,51.62835348,7.2,17.6,8.3043193,101.227303,25.9,4.503098119,22.5729769
2017,36000,New York,81.17578277,81.13456402,81.21700152,64783,7.955363593,11.83372892,9.8,759.7,14.09140114,25.5,9.1,24.7,18.81306943,588.5,16.49083347,17.364736,8.008953143,2.636020927,4203,42,48,67.69037053,4.693334158,6.616040409,19.9,5.716023816,34.33484149,74.35816484,3.4,4.3,7.9750525,47.280114,37.6,7.189097075,12.12707519
2017,37000,North Carolina,77.98753041,77.9299948,78.04506602,52797,9.029236986,12.79671386,11.2,355.7,17.19453047,31.4,6.7,24.3,16.86620227,612,26.64561242,19.489211,15.60785597,4.886634514,4758,46,51,66.53046414,4.550416031,7.389296744,21,4.758638546,35.33847323,50.32251427,6,13,11.4976329,71.425682,32,2.515816925,33.91256636
2017,38000,North Dakota,79.81411176,79.59783082,80.03039271,62400,6.422837942,10.33170179,9,60.3,18.26962381,32.7,9,23.9,24.12910425,433.9,23.05345864,9.073803,9.090022929,7.528335125,4551,52,49,73.2444989,2.603974373,5.051326354,11.4,4.426410749,26.90537632,53.48033818,2.2,12.5,16.1505336,69.030231,13.4,0.598954317,40.10148813
2017,39000,Ohio,77.0182534,76.96502609,77.07148071,54077,8.575498958,14.73397823,11.8,217.6,21.13145981,32.3,6.7,26.4,20.20739274,526.6,25.67640526,36.547188,8.071752384,4.574887006,5168,43,49,64.8976181,4.99742908,5.733385854,19.8,4.750883149,35.71124713,69.07401817,5.7,12.1,11.1625666,82.115194,30.3,1.021133123,22.07609862
2017,40000,Oklahoma,75.90227478,75.81025183,75.99429773,50051,8.038530946,15.95846071,12.2,183.8,20.14787789,33.7,5.7,29.3,14.14671699,553.4,39.137174,19.658734,20.10304867,8.150600377,4926,37,48,59.64755419,4.291181473,8.509634366,21.3,4.634619039,33.87635146,55.66154499,7.3,17.4,11.6284868,93.134525,26.1,2.069075866,33.75642535
2017,41000,Oregon,79.64597453,79.56034327,79.7316058,60123,6.361914055,15.51256797,9.3,195,16.08781403,28.8,7.9,17.2,18.59276151,449.8,20.29277434,12.563984,9.835839113,3.685828674,2944,41,43,69.06311666,4.124783873,7.165036446,16.5,4.587254819,29.96018374,62.69685063,2.8,12.3,10.1719234,72.192527,28.3,3.018185087,18.9683624
2017,42000,Pennsylvania,78.30669833,78.25664735,78.35674931,59165,8.19226414,13.6148709,10.6,,18.7494183,30.3,8.2,23.1,19.20689358,440.8,19.67303551,34.587694,7.415841041,4.394706978,4655,45,51,64.24062814,4.912424604,5.876516738,16.9,4.815869352,33.63082867,71.48311612,5.3,11.8,12.2525123,81.423505,36.4,1.993350696,21.34318304
2017,44000,Rhode Island,79.77065726,79.60084039,79.94047414,62923,7.494234697,14.95602367,9.5,263,14.94989093,28.1,8.4,24.4,19.6438006,498.5,16.24905551,30.135265,6.504977151,2.232272788,4364,51,48,66.33717903,4.469601088,5.689660812,18.2,5.33570863,36.59571818,61.96407864,2.4,4.4,10.0694671,75.922794,32.5,4.405396743,9.265348429
2017,45000,South Carolina,76.97438304,76.89152757,77.05723852,50675,9.611655809,14.19186498,12.8,400.7,18.78839288,32.9,6.3,25.9,17.35186756,641.6,29.56473799,17.793745,16.10364745,5.202188674,4499,46,48,62.08965333,4.270286748,7.090827493,22.3,4.762885078,38.8956124,46.13381659,8,16.9,11.6750979,80.513848,33.9,1.414668903,33.67421461
2017,46000,South Dakota,79.02154497,78.81985511,79.22323483,56871,6.434382447,9.94001785,9.9,74.6,19.27891245,31.8,6.5,21.3,18.97709024,510.2,28.17432444,7.981218,12.6762921,6.486167533,4803,49,47,68.29337724,3.328998071,5.461226839,16.3,4.152208137,30.93443405,65.53606356,3.3,11,16.6845663,79.852905,14.5,0.974432618,43.34827679
2017,47000,Tennessee,76.08961285,76.01966799,76.1595577,51319,9.130769613,14.04846379,12.8,290.4,22.63907648,33.2,6.4,27.2,14.27063221,522.4,33.1674855,24.354604,13.9265206,4.32747425,5320,41,49,60.20646137,3.706421181,7.566371024,21.1,4.740869141,35.45946988,66.82573009,7.2,16.7,11.3415994,85.557705,34.3,1.525068675,33.60896172
2017,48000,Texas,79.02156265,78.98522627,79.05789903,59195,8.331095564,11.87767945,10,374.8,15.70960286,30.1,6,24.4,19.52038161,535.4,37.44036811,10.05305,23.35968416,10.66295277,5011,37,44,60.86459136,4.267856841,7.96677028,21,4.879189563,32.95724374,53.77657325,5.3,11.5,7.6238502,55.789687,37.7,7.662458671,15.30099885
2017,49000,Utah,79.756948,79.64724102,79.86665497,68395,7.021992559,11.30553826,7.1,115.3,8.880106723,25.9,7.8,18.1,12.21675711,326.7,19.14018692,21.106203,11.74857125,6.957266882,2436,39,46,70.32256611,3.244386072,6.498444895,10.6,3.792723838,18.24031319,62.59203792,2.1,12.2,3.456021,66.725615,23.9,2.386632929,9.417540889
2017,50000,Vermont,79.7388372,79.52159254,79.95608187,58271,6.681938751,13.61158169,8.4,122.9,15.81384094,26.3,8.6,19.1,19.47666228,297.9,13.4759045,19.100536,6.776715199,1.484363384,3455,47,48,67.48819476,3.01251298,5.094501481,12.8,4.458509546,30.76721323,67.46463275,1.9,11.3,13.4048042,79.840511,30.4,0.524876136,61.10451449
2017,51000,Virginia,79.44047625,79.37776232,79.50319019,71518,8.039927633,11.78015147,10.5,305,16.37718314,29.8,8.9,22.9,17.3998391,500.3,19.08739087,15.638346,12.07078794,5.046920333,4461,44,50,70.37990358,3.751905283,5.922620867,14,4.792645521,29.81118126,49.55875409,4.5,11.4,11.3801384,60.215263,39.4,2.615061297,24.54598311
2017,53000,Washington,80.30977849,80.24414955,80.37540744,70942,6.370387448,12.55346781,8.8,209.4,13.48905711,27.8,8.1,17,17.43002478,435.2,19.64401247,15.39053,8.740620973,2.614781074,2969,39,46,70.06775518,4.75987329,6.866159823,14.2,4.498271239,28.13355775,59.26355475,3,10,8.6527442,64.400871,35.6,3.729167479,15.95158925
2017,54000,West Virginia,74.96555335,74.83143402,75.09967269,43238,9.431578947,18.22744223,14.9,113.6,26.00690965,36.7,6.7,28.9,12.25324606,228,36.20153278,47.039867,9.206304977,2.597165767,6149,39,41,54.65976566,5.202020461,8.80915944,24.4,4.894356883,33.77052282,62.08230273,5.2,16.6,13.1287871,113.835604,33,0.355398497,51.27830959
2017,55000,Wisconsin,79.51683534,79.44346144,79.59020923,59300,7.281945048,12.22937809,9.3,124.9,16.02475908,31.3,8.8,20.8,24.20335297,478.6,18.29320496,18.039232,7.37217653,3.907718083,3940,50,52,68.8229195,3.28911154,5.22443573,14.6,4.268858646,31.45578855,76.77406236,3.4,10.3,11.5866098,77.089199,26.8,1.431803375,29.84617863
2017,56000,Wyoming,78.97815777,78.72720677,79.22910876,61279,8.606157904,11.65262054,8.7,65,18.72294486,28.9,6.8,24.1,19.77250944,369.7,29.94868006,15.077762,16.36774504,8.798823128,3375,36,42,67.10320948,4.202901021,5.699151832,12.9,4.237716763,26.88694431,68.00051343,3.3,17.9,13.6195334,90.789633,14.8,0.964190104,35.24198671
2018,1000,Alabama,75.41619415,75.33286677,75.49952153,49881,10.2548706,15.85646852,14.5,330.4,19.98983097,36.1,5.5,29.3,14.89137764,583.4,30.89461645,16.176762,15.14929638,3.208437882,5466,40,43,60.41190154,3.933566911,8.370018669,23.9,5.26113574,37.34273923,56.65398815,9.926443,20.575917,12.3202924,82.250245,34.3,1.061047926,40.9631829
2018,2000,Alaska,78.7721508,78.50900773,79.03529388,74912,5.861343446,10.71115441,8.3,117.6,18.54598251,31.9,6.4,19.3,17.61088281,832.5,27.10852815,17.349165,16.03192362,8.873416589,2693,35,36,65.03281281,6.587537757,9.651300874,14.5,4.10913408,29.64141782,51.51226234,7.111201,22.575374,11.2823044,93.224925,16.1,1.712905319,33.98021207
2018,4000,Arizona,79.89649908,79.82224795,79.97075021,59079,7.194695012,12.76792596,9.6,276.9,14.48927785,27.9,6.8,21.2,18.12687883,581.6,27.3501953,21.705587,14.6502869,8.403058264,2952,40,45,63.51478681,4.831880615,8.464993002,20.4,4.583322967,35.53629878,45.65928743,5.658357,15.202487,5.6095909,82.887005,35.5,4.861131484,10.19017941
2018,5000,Arkansas,75.93061174,75.82463294,76.03659054,47094,8.991426544,16.70526321,13.5,228.1,23.70825558,35,5.1,30.4,17.25390777,587.9,37.76539763,14.334328,11.79632413,4.348396687,4769,38,48,58.36982176,3.702410214,8.861248792,23.8,4.774278351,36.09561833,64.34665771,7.962826,18.346691,11.9847702,81.901287,26.6,1.592402405,43.83967588
2018,6000,California,81.57580635,81.5451389,81.6064738,75250,6.817937716,11.2754709,8.8,395.9,11.47400749,24.3,8.8,17.7,18.1269825,585.3,19.4895356,12.565095,10.30814896,3.165416797,3358,36,43,64.99325423,4.203526593,6.636195859,17.4,5.257712795,31.12598103,55.42886242,4.918123,7.868419,5.9053956,50.176515,41.2,9.810829751,5.047383424
2018,8000,Colorado,80.5002804,80.420232,80.58032881,71949,8.975466066,11.29570888,6.6,265,14.67335961,22.4,8.4,14.8,21.27752758,519.4,19.44366533,17.526295,10.25947887,4.759706891,2617,41,49,71.73302119,3.281526332,6.339690483,12.1,4.383049274,27.04084085,62.11743797,3.930556,13.899484,8.7875406,78.016458,35.5,3.024340918,13.84783969
2018,9000,Connecticut,80.86944868,80.77516631,80.96373105,76366,7.818107065,11.3203865,9.2,342.6,12.53833597,26.3,8.2,19.9,20.46557381,466.3,10.92910893,28.983075,7.494088977,2.551786446,4040,46,56,68.90460057,4.106569367,5.120937358,13.8,5.072007913,31.96532791,62.04624426,3.002633,5.143693,9.3627586,68.145566,33.7,3.797385619,12.00736857
2018,10000,Delaware,78.42865496,78.23848868,78.61882125,65467,8.724551212,13.13529235,11.8,403.6,17.4486198,32.4,7.8,27.3,19.81064717,627.7,20.44904711,35.436931,7.953204354,3.646790082,4871,48,56,61.74576071,3.757371001,5.914904083,17.6,4.397417403,36.91552082,42.86674216,6.31286,11.401041,10.3497727,76.489857,34.4,2.006503167,16.70334345
2018,11000,District of Columbia,78.5919757,78.33064727,78.85330413,82533,9.925573267,12.77904996,8.1,2360.8,15.38218526,24,8.5,17.4,23.45050607,1298.9,27.11591236,40.094398,4.07640512,1.708796453,5032,34,41,81.19717875,5.553495959,6.989464524,24.5,7.218459442,52.07704804,68.02563344,16.597369,15.78306,28.8844125,78.357905,48.8,2.495131337,0
2018,12000,Florida,80.0377844,79.99502113,80.08054768,55433,8.650626483,13.36409612,10.8,607,14.89251919,27.2,6.9,25.8,19.72849248,499.2,21.39904632,23.076129,19.15585305,7.562798963,4684,43,46,62.78249908,3.567241166,7.338981958,20,4.659833384,37.77427905,54.3879239,5.949363,12.904042,6.9969353,78.939862,41.5,6.527341214,8.836969339
2018,13000,Georgia,77.76907773,77.71073677,77.82741868,58634,9.636901938,13.20795969,12,624.9,16.34341017,32.3,6.5,26.4,16.81381316,632.2,26.25204119,13.867906,19.11737455,7.982841538,4835,41,46,63.13372142,3.940248328,8.280375095,21,4.923855422,37.02371025,54.08401573,7.077154,14.950139,8.8131775,64.927425,41.6,2.800758458,24.9338204
2018,15000,Hawaii,82.29038281,82.11973023,82.4610354,80527,8.275109513,10.34187966,11.1,203.6,14.39195414,24.6,7.6,19.6,22.9525804,541.8,21.8443974,14.193565,5.529283069,2.63276399,2104,41,44,68.6093469,2.446757571,8.201223919,11.8,4.401249735,29.02501434,54.67011584,2.277281,3.633685,6.5822311,57.423451,41.4,4.777639018,8.072625103
